,pageid,KeyBERT_keywords
27,3733,"[('olympisches', 0.00047619047619047673), ('olympics', 0.0005058398720840363), ('sporthistorikern', 0.0007049143873693576), ('sportorganisationen', 0.0009039889026546799), ('olympiaden', 0.002363162743416246), ('beispielsweise', 0.002401283395279393), ('internationales', 0.003191228014443491), ('olympiafahne', 0.003394538157713608), ('winterspielenolympiadeparalympische', 0.004353907896269471), ('1896', 0.004370850408208647)]"
28,2501,"[('goetheschen', 0.00047619047619047673), ('goethephilologie', 0.0007948792993181808), ('weimarische', 0.0011525912436451935), ('großherzogtum', 0.0020587948359402954), ('heidelberger', 0.0024165067802673092), ('straßburg', 0.002654981409818652), ('wissenschaftliche', 0.0028175777481491125), ('vaterschaft', 0.003053884426522715), ('auflösungserscheinungen', 0.004809924880491692), ('1919', 0.0048164287340249105)]"
29,60100,"[('braunschweigisches', 0.00047619047619047673), ('braunschweig', 0.0005812492862852569), ('braunschweigische', 0.0008020250466293633), ('braunschweigs', 0.0008857675764150586), ('braunschweigischen', 0.0012496669331201705), ('braunschweiger', 0.0014917589737733627), ('braunschweigisch', 0.0016957862281603286), ('großstädte', 0.004176087701267556), ('hannover', 0.004573484069886947), ('einwohnerversammlungen', 0.004730310989303794)]"
30,51610,"[('montreal', 0.00047619047619047673), ('montréalistes', 0.0007317755701693007), ('montréalais', 0.0009985541719136238), ('québécoise', 0.0017186698381605324), ('cartierville', 0.0028473485378480478), ('supérieure', 0.0034424700340469194), ('wasserstraße', 0.004106618161466349), ('nordosten', 0.004175644792686909), ('stadterneuerungsprojekts', 0.004347278578424514), ('km²', 0.0049349377361130545)]"
31,826909,"[('bundestagssitzungen', 0.0004761904761904778), ('bundestagsvizepräsidenten', 0.0006304367321316495), ('bundestagskollegen', 0.0009209936328580415), ('bundestagsabgeordnete', 0.0010429557887185015), ('bundestagswahl', 0.0013335126894448946), ('bundestagsverwaltung', 0.0014985203120796364), ('bundesnachrichtendienst', 0.0015451529010851062), ('bundeswehr', 0.003166532149582998), ('systematischen', 0.004280333602367501), ('parlamentsgebäude', 0.004900905748363377)]"
32,106547,"[('reichsfeindschaft', 0.00047619047619047673), ('reichsstrafgesetzbuch', 0.0013472492419860837), ('reichsjustizamt', 0.0015715863084284144), ('1918gemeindeverzeichnis', 0.0016416916416916428), ('reichsminister', 0.0016679811416653522), ('wilhelminischen', 0.002079849974586817), ('kaiserlichen', 0.002100881574565786), ('1914', 0.002681003207318997), ('geschichtswissenschaftlichen', 0.0032804038067195964), ('1910reichstagsprotokolle', 0.004118162539215171)]"
33,31818,"[('ontario', 0.00047619047619047673), ('ontariosee', 0.0007901622187336488), ('toronto', 0.0008020102090182967), ('torontoaufgrund', 0.0013075244611632764), ('niagarafällen', 0.0017123307958887479), ('winnipeg', 0.0022119210528914047), ('mississaugas', 0.0025555127711461957), ('einwohnerstruktur', 0.0027924725768391544), ('stadtregion', 0.004344559304128038), ('km²', 0.004861921546557666)]"
34,8531,"[('ghanaische', 0.0004761904761904756), ('ghanaischen', 0.001330980066445182), ('ghana', 0.0015057447397563673), ('ghanaer', 0.0028294573643410847), ('afrikanische', 0.003082087486157253), ('schwarzafrikanisches', 0.0032845376522702106), ('burkina', 0.004160091362126246), ('afrormosia', 0.005011420265780731), ('volta', 0.005577242524916943), ('nationalparks', 0.005918120155038759)]"
35,5716,"[('innerstädtische', 0.00047619047619047673), ('einwohnerentwicklung', 0.0010421364460361682), ('landeshauptstädte', 0.0015152319052040507), ('landschaftsschutzgebiet', 0.0019662200999248356), ('darmstadt', 0.0023287792368572326), ('kochbrunnenplatz', 0.002364150859972588), ('hauptbahnhofes', 0.002408365388866782), ('hessender', 0.0024149975682009107), ('zehntwohlhabendste', 0.0024901622673210422), ('weinanbaugebietes', 0.002936729009152408)]"
36,12049,"[('regensburgregensburg', 0.00047619047619047673), ('regensburgs', 0.0008774693181072402), ('regensburgischer', 0.0008924703963097358), ('innerstädtisch', 0.0018019107623360442), ('wasserstraße', 0.0027282273413401603), ('würzburg', 0.002741353284767344), ('reichsstadt', 0.0028726127190391824), ('mainz', 0.0028951143363429256), ('münchen', 0.002932617031849165), ('1471', 0.005486550595824076)]"
37,49277,"[('seoul', 0.0004761904761904778), ('seoullo', 0.0005016712382151478), ('seouls', 0.0008329211445358753), ('seouler', 0.001333543174902948), ('koreakrieg', 0.002844402476130522), ('sudogwon', 0.0035248887090246874), ('chungcheongnam', 0.00366878007104636), ('봉은사', 0.0038051770912960713), ('stadtbussystem', 0.00401351979255662), ('kolonialhauptstadt', 0.004217365888753991)]"
38,14174,"[('rostockbundeseinrichtungen', 0.00047619047619047673), ('norddeutschlands', 0.0014357258590577205), ('rostocks', 0.001713486101466659), ('bahnhofsvorstadt', 0.0020038718094396403), ('mecklenburgische', 0.0022521726321991452), ('schnellstraßenring', 0.002405782463228332), ('zeitmecklenburg', 0.0024941607221766306), ('seestadt', 0.0026709172400732283), ('einwohnerentwicklung', 0.003249584411758518), ('verkehrsbelegung', 0.003939776529259518)]"
39,10690,"[('chromosomenveränderungen', 0.00047619047619047673), ('chromosomenchromosomenzahlen', 0.0009295230444055513), ('chromosomales', 0.0014651058254191419), ('heterochromatin', 0.0014842337818839124), ('euchromatin', 0.0015397048556317482), ('chromatinstruktur', 0.001989211832553869), ('metaphasechromosomen', 0.0024961026788703033), ('tochterchromosomen', 0.002633823965416655), ('markerchromosomen', 0.0027600684780841444), ('genetische', 0.005195057336049504)]"
40,19028,"[('bundesligafußball', 0.00047619047619047673), ('fußballmannschaften', 0.0008755020080321297), ('bundesligamannschaften', 0.0009137502390514462), ('fußballmannschaft', 0.0011202906865557484), ('fußballbundesliga', 0.0014354561101549079), ('fußballverband', 0.0014614649072480412), ('fußballmeisterliste', 0.0016328169822145732), ('fußballdeutsche', 0.001765920826161791), ('bundesliga1', 0.002055077452667816), ('bundesligaliste', 0.0023029259896729794)]"
41,3466135,"[('mitteleuropäischen', 0.00047619047619047673), ('mittelgebirgsbereich', 0.0010449735449735453), ('liegeplätze', 0.0013602292768959434), ('elbsandsteingebirges', 0.0014065255731922398), ('europas', 0.0014836860670194008), ('norddeutsche', 0.0024757495590828926), ('geomorphologische', 0.0033884479717813053), ('ostdeutschlands', 0.0036309523809523814), ('km²', 0.003908730158730159), ('biotopverbundsystem', 0.005363756613756614)]"
42,10527,"[('timorsee', 0.0004761904761904756), ('timors', 0.0005982254086899042), ('timor', 0.0006677175230298559), ('timór', 0.0006677175230298559), ('timoresin', 0.0009643302061881864), ('timoresen', 0.0010728057017432347), ('timorerin', 0.0012490783820201857), ('timorensis', 0.0017423029008720404), ('timorisch', 0.00177111670437885), ('länderinformationen', 0.004366053949609743)]"
43,42116,"[('vancouver', 0.00047619047619047673), ('vancouverkunst', 0.000769257136001783), ('vancouvern', 0.0008378107406360069), ('vancouverdiscover', 0.0010434715545386787), ('vancouvergeschichte', 0.0012971198916853044), ('vancouvers', 0.0014410824614171746), ('vancouvertourismusbehörde', 0.0019072469729298957), ('regionaldistrikt', 0.004299767774664302), ('northwest', 0.0043186200159387135), ('stadtentwicklungsprojekte', 0.005158401672707954)]"
44,3984,"[('pestforschungskommission', 0.00047619047619047673), ('pestsepsis', 0.0009827179389069584), ('pestplage', 0.0011867865569797852), ('pestiférés', 0.0014692029480627155), ('pestmeningitis', 0.0015311523499776814), ('pestbakterien', 0.0017807719988703352), ('pestverordnungen', 0.0018081026173622317), ('pestbriefpestepidemien', 0.002037679812694162), ('pestinfizierten', 0.002296409667750782), ('anstecken', 0.0041330272304062245)]"
45,22203,"[('carolina', 0.00047619047619047673), ('piedmonts', 0.0009115646258503396), ('fauna', 0.0015619047619047622), ('vegetation', 0.0016244897959183668), ('northern', 0.0021714285714285707), ('savannah', 0.0023782312925170056), ('küstenregion', 0.0024244897959183674), ('afrikanischen', 0.0025197278911564635), ('geologisch', 0.0030857142857142862), ('triassic', 0.0035401360544217685)]"
46,1249,"[('eisenmeteoriten', 0.0004761904761904756), ('eisenallotrope', 0.0010357895482477097), ('eisenerzlieferanten', 0.0015936177371655225), ('eisenmengen', 0.0016343480493722206), ('eisenisotopen', 0.0016892454266942913), ('eisenoxids', 0.001747684570295205), ('eisen3', 0.001772476934247108), ('eisentechnologie', 0.00216561299119871), ('eisenerzkonzentrate', 0.002395827799323521), ('aluminium', 0.004579326710230392)]"
47,16651,"[('monterrey', 0.0004761904761904756), ('tenochtitlan', 0.0006126210222716877), ('oaxaca', 0.0010554219174475521), ('städtebaulich', 0.0011607367249488376), ('mexikoplatz', 0.0012851996792685406), ('megalópolis', 0.0023766440479182373), ('querstraßen', 0.0024699912636580133), ('einzukaufen', 0.00261120884644383), ('wirtschaftszeitungen', 0.003697866178388923), ('1847', 0.0041526346653262955)]"
48,61819,"[('brasileira', 0.00047619047619047673), ('janeiro', 0.0005864516573633793), ('gerais', 0.000720340234501906), ('paulos', 0.0015886470362385186), ('brasilianisches', 0.0018072004489205228), ('são', 0.00202772281126633), ('paraná', 0.0023132205125175973), ('stadtviertel', 0.0033213227403841427), ('landwirtschaftlichen', 0.0037840259113775766), ('portugiesische', 0.004425903501776977)]"
49,2951,"[('linuxtreibern', 0.00047619047619047673), ('kernels', 0.0005818525404614594), ('kernelcode', 0.001419021203531552), ('linuxbierwanderung', 0.001906692269397625), ('softwareentwicklern', 0.003008016093145174), ('hardwareunterstützung', 0.003119774045739483), ('easylinux', 0.0042170339439381475), ('großrechnern', 0.00461123472217989), ('frameworks', 0.004798175297428552), ('x86', 0.005039978867587146)]"
50,538,"[('großstädten', 0.0004761904761904756), ('einwohnerzahl', 0.0005308857211226203), ('nordwestlich', 0.0009388210895748583), ('ostwestfalenstraße', 0.0011689969119976296), ('bielefelds', 0.001374104080493168), ('klosterplatzschule', 0.001989425585979786), ('landschaftsverbandes', 0.00244294032520881), ('regionalniederlassung', 0.002964824120603016), ('bildungsfachleuten', 0.0032884376531181992), ('1910friedrich', 0.0033682015519775755)]"
51,15102,"[('ordensniederlassungen', 0.0004761904761904756), ('ordenskirchen', 0.0004780177612103931), ('ordensleute', 0.0005511091620070896), ('ordensregeln', 0.0006406461279830422), ('ordenseigenen', 0.0007575923692577557), ('ordensoberhauptes', 0.0007868289295764352), ('ordensherrschaft', 0.0010207214121258623), ('orden', 0.001046303402404707), ('ordenspriestern', 0.0011723860687790078), ('ordensvermögens', 0.001303950590213061)]"
52,2666,"[('دة', 0.00047619047619047673), ('المقط', 0.0015102040816326533), ('kairo', 0.0019559442824748953), ('qatāʾiʿ', 0.0023602202785876257), ('sinai', 0.00268415937803693), ('küstenregion', 0.0030910268869452553), ('inlandsflügen', 0.0035497246517654677), ('zentralbehörden', 0.003889212827988339), ('ägyptens', 0.00420537738905086), ('quadratkilometern', 0.004604470359572402)]"
53,98407,"[('republikanischen', 0.00047619047619047673), ('kriegswirtschaftliche', 0.001961576197321285), ('reichslehen', 0.0024247609920825053), ('küstenstädte', 0.002659775937207658), ('osmanischen', 0.002689438017660346), ('oberkommandierende', 0.002808086339471103), ('stadtpaläste', 0.0028788189928582843), ('kroatischen', 0.002913044470303694), ('aufstrebenden', 0.0034104547425103248), ('beringstraße', 0.003606680813197344)]"
54,1935969,"[('deportation', 0.00047619047619047673), ('1938verordnung', 0.0007599945422294984), ('holocausts', 0.0018133442488743345), ('november', 0.0019170418883885931), ('nationalsozialistischer', 0.0021926592986764902), ('reichspropagandaleitung', 0.0026565697912402787), ('1920', 0.002858507299768045), ('schuldigen', 0.0034561331696002185), ('631', 0.00458589166325556), ('issn', 0.005344521762859872)]"
55,3375,"[('maintalautobahn', 0.00047619047619047673), ('großschifffahrtsstraße', 0.0005023248723225871), ('mainschifffahrt', 0.0009357202748467331), ('wasserstraßenabschnitte', 0.0011513290429366362), ('mainschleuse', 0.0012536887611207304), ('mainbrücke', 0.0013277362168283746), ('stadtlandschaft', 0.0019310051942112317), ('mainviereck', 0.0019375387932442601), ('mainberg', 0.0023164875371598447), ('westlichste', 0.0023883571265231464)]"
56,18801,"[('todesstrafe', 0.00047619047619047673), ('todesstrafenprozess', 0.0019421643196023807), ('todesstrafengesetz', 0.002159717515542503), ('todesursachen', 0.0025295579486407115), ('todesstrafenfällen', 0.0025412723514990267), ('todeskandidaten', 0.0027906217837688585), ('separatistengebieten', 0.005028072729706889), ('abschreckungseffekt', 0.005402933621172948), ('strafbestimmungen', 0.00549330187179423), ('1838', 0.0055669352611893465)]"
57,2061314,"[('tuberkulosemedikament', 0.00047619047619047673), ('tuberkulosebakterien', 0.00047763786365610073), ('tuberkulintestungen', 0.0005905340859748164), ('tuberkulosemedikamente', 0.0006079027355623101), ('tuberkulostatische', 0.0009972499638153142), ('tuberkulosefürsorgestellen', 0.00113619916051527), ('tuberkulöses', 0.0011390939354465203), ('tuberkuloserate', 0.0011665942972933874), ('tuberkuloseherde', 0.0013359386307714583), ('tuberkulosekranke', 0.001451729628021422)]"
58,2765,"[('erließ', 0.0004761904761904756), ('bayernherzogs', 0.0005545987874714719), ('reichsversammlungen', 0.0007058148163705358), ('westeuropäischer', 0.0015571050531356322), ('karolingerreichs', 0.002296383416642164), ('martell', 0.0023299869786197348), ('frankenkönige', 0.0023439884627770545), ('charlemagne', 0.002800436846305708), ('idealherrscher', 0.002943251984710379), ('781', 0.00603757998347825)]"
59,140,"[('aristotelismus', 0.00047619047619047673), ('aristoteles', 0.001446802969136607), ('aristotelesübersetzungen', 0.0015718192472978254), ('aristotelicumsammlungendiverse', 0.001577028258887877), ('aristotelesliteratur', 0.0016152276772149156), ('aristotelesforschung', 0.0017767070365064897), ('aristotelesverboten', 0.00213439249902331), ('aristotilem', 0.0030581238876589835), ('aristotle', 0.003266484351261015), ('embryologischen', 0.004421148587055607)]"
60,30078,"[('1848die', 0.00047619047619047673), ('revolutionsgeschehen', 0.002187240749958521), ('errungenschaften', 0.002566782810685251), ('revolutionsgenerals', 0.002689148830263813), ('kulturhistorische', 0.0037551850008296006), ('germanisierungspolitik', 0.0037904430064708817), ('nationalistischeren', 0.0038816990210718437), ('herrschaftsmacht', 0.004060063049610089), ('bundesstaaten', 0.0042239090758254515), ('siebzehnerausschusses', 0.0049352911896465915)]"
61,141876,"[('werradie', 0.00047619047619047673), ('welfenhauses', 0.0008176603974923302), ('klassifiziert', 0.0009563825530212078), ('stahlverbundbrücke', 0.000993730825663599), ('weserabflusses', 0.0016579965319461131), ('wasserstraßenklasse', 0.0019167667066826732), ('vistula', 0.0022208883553421366), ('feuerschiffes', 0.002666399893290651), ('hydrografischen', 0.0027250900360144058), ('namensformen', 0.00295718287314926)]"
62,37011,"[('bordeaux', 0.00047619047619047673), ('bordeauxwein', 0.000674406531690972), ('nantes', 0.0029397328802680633), ('arrondissements', 0.0032946340082118074), ('einwohnerdichte', 0.0033191750436547263), ('aufgebaut', 0.003927037613856247), ('innerstädtische', 0.003974231912784936), ('musée', 0.004070508282599462), ('wirtschaftsgeschichte', 0.004589645570815045), ('1919', 0.00499929208551607)]"
63,12672,"[('bismarckverehrern', 0.00047619047619047673), ('bismarckschen', 0.0005436462181644197), ('bismarckberg', 0.0009813241719023313), ('bismarckbild', 0.0010534861284325946), ('bismarckgesellschaften', 0.0010895671066977286), ('bismarcksches', 0.0011052544885521343), ('bismarckkritischen', 0.001210359946976649), ('bismarckhäuschen', 0.001478614176686982), ('bismarckburg', 0.0015884258496678195), ('1851', 0.0034646367194547056)]"
64,25087,"[('taxonomic', 0.0004761904761904778), ('taxonnamen', 0.0006097477143053553), ('linnaeus', 0.002086733641693429), ('phylogenetischen', 0.0027761246796099348), ('archaebakterien', 0.0036776360368853665), ('monophyletischen', 0.003897612664368698), ('symbiotische', 0.004042954364670183), ('taxa', 0.004097948521541016), ('entwickeln', 0.0043120329179310414), ('formtaxa', 0.0059795343173359265)]"
65,21368,"[('violoncelloschule', 0.0004761904761904756), ('violoncellokomponisten', 0.0006975401316549256), ('violoncello', 0.0007822304346152365), ('cello', 0.0009766331755014057), ('violoncellobau', 0.0011171420872310113), ('celloklängen', 0.0016791777341494396), ('vibrato', 0.0017272972244677985), ('violinsonaten', 0.002358624937444662), ('instrumententechnischen', 0.002422142664664896), ('viola', 0.0024875851714978637)]"
66,2480285,"[('klarinettisten', 0.00047619047619047673), ('klarinettenschule', 0.0008605990072385205), ('klarinettenwerke', 0.0011356803413829896), ('klarinettenensembles', 0.001269694324684143), ('klarinettenbau', 0.0015800424965394433), ('klarinettenquintett', 0.0017228731892683024), ('kontrabassklarinette', 0.002301249327725907), ('mozartschen', 0.0025622239267860457), ('instrumente', 0.003778929827809666), ('chromatischen', 0.003979950802761395)]"
